﻿﻿﻿﻿﻿﻿﻿﻿idx,card_name,company,card_type,brands,annual_fee,pre_month_money,pre_month_condition,top_benefit_summary,benefit_categories,only_online,release_dt,card_img,detail_url,detailed_benefits
2240,위버스 신한카드(BTS),신한카드,신용,AMEX,"국내전용 [35,000]원 / 해외겸용 [35,000]원",300000,"300,000원",적립: 4% | 적립: 50% | 기타: 무제한,"교통, 마트/편의점, 쇼핑, 카페/디저트, 뷰티/피트니스, OTT/영화/문화",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2240/card_img/20944/2240card.png,https://www.card-gorilla.com/card/detail/2240,적립: Weverse Shop 이용금액의 4% Weverse Shop 캐시 추가 적립 | 생활: 생활영역 이용금액의 10% Weverse Shop 캐시 적립 | 기타: HYBE INSIGHT 내 매장 결제 시 50% 할인 | 선택형: 카드 디자인 선택가능
2355,레고랜드카드,KB국민카드,신용,Mastercard,"국내전용 [20,000원] / 해외겸용 [20,000원]",400000,"400,000원",테마파크: 10% | 배달앱: 10% | 온라인쇼핑: 5%,"마트/편의점, 쇼핑, 푸드, 카페/디저트, 교육/육아, 레저/스포츠, 여행/숙박, 해외",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2355/card_img/24768/2355card.png,https://www.card-gorilla.com/card/detail/2355,테마파크: 레고랜드 리조트 10% 청구할인 | 푸드: 배달앱/커피/제과/패스트푸드 10% 청구할인 | 기타: 대형마트/온라인쇼핑/소셜커머스/교육 5% 청구할인 | APP: KB Pay 온라인쇼핑 결제 5% 청구할인 | 해외: 해외 가맹점 이용 5% 캐시백
2357,레고랜드매니아카드,KB국민카드,신용,Mastercard,"국내전용 [100,000원] / 해외겸용 [100,000원]",400000,"400,000원",테마파크: 30% | 기타: 10% | 기타: 80000원,"모든가맹점, 푸드, 레저/스포츠, OTT/영화/문화, 해외",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2357/card_img/24771/2357card.png,https://www.card-gorilla.com/card/detail/2357,테마파크: 레고랜드 리조트 30% 청구할인 | 기타: 레고/완구 구매 10% 청구할인 | 쇼핑: 백화점/대형마트 10% 청구할인 | 배달앱: 배달앱 10% 청구할인 | 디지털구독: 구독서비스 20% 청구할인 | 간편결제: KB Pay 결제 10% 청구할인 | 해외이용: 해외 가맹점 이용 10% 캐시백 | 프리미엄 서비스: 웰컴 레고랜드 포인트리 7만점 적립 | 프리미엄 서비스: 연간 결제납부실적 1천만원 이상 달성 시 레고랜드 포인트리 8만점 적립
2497,LG BEST SHOP 486 신한카드,신한카드,신용,Mastercard,"국내전용 [22,000원] / 해외겸용 [25,000원]",500000,"500,000원",기타: 6.5% | 기타: 11000원,모든가맹점,false,,https://d1c5n4ri2guedi.cloudfront.net/card/2497/card_img/28551/2497card.png,https://www.card-gorilla.com/card/detail/2497,"기타: - LG전자 베스트샵 매장에서 48개월/60개월 할부 이용 시, 연 6.5% 할부 수수료 적용 | 기타: - 전월 이용금액 50만원 이상 이용 시 11,000원 캐시백"
2404,코오롱몰 우리카드,우리카드,신용,"Mastercard, BC","국내전용 [15,000]원 / 해외겸용 [15,000]원",300000,"300,000원",쇼핑: 5% | 쇼핑: 무제한 | 공항라운지: 무제한,"마트/편의점, 쇼핑, 공항라운지/PP",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2404/card_img/26275/2404card.png,https://www.card-gorilla.com/card/detail/2404,"쇼핑: 코오롱 FnC 온/오프라인 매장 상품 구매시 청구할인 제공 | 쇼핑: 코오롱 FnC 온/오프라인 매장 상품 구매시 장기할부 제공 | 공항라운지: 국내외 공항 라운지 무료 이용 서비스(통합 월 1회, 연 2회) | 편의점: 편의점 5% 청구할인 서비스 | 선택형"
176,부자되세요 HomeShopping카드(비씨),NH농협카드,신용,"VISA, UnionPay","해외겸용 [10,000]원",200000,"200,000원",쇼핑: 6% | 카페/디저트: 10% | OTT/영화/문화: 3000원,"쇼핑, 푸드, 카페/디저트, OTT/영화/문화",false,,https://d1c5n4ri2guedi.cloudfront.net/card/176/card_img/20391/176card.png,https://www.card-gorilla.com/card/detail/176,홈쇼핑: 홈쇼핑 6대 홈쇼핑 이용액의 6% 청구할인 | 생활: 생활 할인 서비스
2241,Kakaopage 롯데카드,롯데카드,신용,VISA,"국내전용 [15,000]원 / 해외겸용 [15,000]원",0,없음,캐시백: 5% | 모든가맹점: 0.5%,무실적,false,,https://d1c5n4ri2guedi.cloudfront.net/card/2241/card_img/20990/2241card.png,https://www.card-gorilla.com/card/detail/2241,"캐시백: 카카오페이지에서 결제 시 5% 캐시백, 국내외 온&middot;오프라인 최대 0.5% 캐시백 | 멤버십포인트: L.POINT | 선택형: 카드 디자인 선택 가능"
594,카드의정석 삼성디지털프라자,우리카드,신용,"VISA, BC","국내전용 [20,000]원 / 해외겸용 [20,000]원",300000,"300,000원",쇼핑: 무제한 | 영화: 3000원 | 카페: 1000원,"카페/디저트, OTT/영화/문화, 프리미엄",false,,https://d1c5n4ri2guedi.cloudfront.net/card/594/card_img/21361/594card.png,https://www.card-gorilla.com/card/detail/594,쇼핑: 삼성디지털프라자 상품 및 서비스 구매 시 장기할부 제공 | 영화: 영화관 할인 | 카페: 커피전문점 할인 | 프리미엄 서비스: VISA브랜드 제공 서비스
596,셀리턴 우리카드,우리카드,신용,"VISA, BC","국내전용 [15,000]원 / 해외겸용 [20,000]원",0,없음,렌탈: 무제한,"무실적, 공과금/렌탈",false,,https://d1c5n4ri2guedi.cloudfront.net/card/596/card_img/21363/596card.png,https://www.card-gorilla.com/card/detail/596,렌탈: 셀리턴 렌탈 요금 자동이체 시 청구할인
838,올레 Super DC 대구은행카드,iM뱅크,신용,"VISA, UnionPay","해외겸용 [8,000]원",300000,"300,000원",KT: 10000원 | 카페: 10% | 캐시백: 30000원,"모든가맹점, 통신, 카페/디저트",false,,https://d1c5n4ri2guedi.cloudfront.net/card/838/card_img/21704/838card.png,https://www.card-gorilla.com/card/detail/838,"KT: KT통신료 월 7천원 ~ 1만5천원 청구할인 | 카페: 슬립리스인시애틀 10% 청구할인 | 캐시백: 연간 1,500만원 이상 사용 시, 3만원 캐쉬백 | BC TOP: 전국 TOP포인트 가맹점에서 TOP포인트 적립"
